,start,end,text
167,760.5,768.5,"[u's', u'der', u'platz', u'neben', u'ihm', u'ist', u'leer', u'forrest', u'sieht', u'ein', u'maedchen', u'an', u'das', u'neben', u'einem', u'anderen', u'sitzt', u'es', u'schuettelt', u'den', u'kopf', u'weit', u'hinten', u'sitzt', u'ein', u'junge', u'allein', u'in', u'einer', u'bank']"
168,768.56,770.391,"['hier', 'kannst', 'du', 'nicht', 'sitzen']"
169,772.76,775.957,"['ist', 'doch', 'komisch', 'woran', 'ein', 'junger', 'mann', 'sich', 'erinnert']"
170,776.04,778.713,"['denn', 'an', 'meine', 'geburt', 'erinnere', 'ich', 'mich', 'nicht']"
171,778.8,781.758,"['ich', 'wei\xdf', 'nicht', 'was', 'ich', 'zu', 'meinem', 'ersten', 'weihnachten', 'bekam']"
172,781.84,785.389,"['und', 'wann', 'ich', 'das', 'erste', 'mal', 'auf', 'einem', 'picknick', 'war']"
173,785.48,789.268,"['aber', 'ich', 'erinnere', 'mich', 'an', 'das', 'erste', 'mal']"
174,789.36,792.716,"['als', 'ich', 'die', 's\xfc\xdfeste', 'stimme', 'der', 'welt', 'h\xf6rte']"
175,792.8,795.633,"['du', 'kannst', 'hier', 'sitzen', 'wenn', 'du', 'willst']"
176,795.5,797.6,"[u'ein', u'zierliches', u'blondes', u'maedchen', u'schaut', u'ihn', u'an']"
177,797.72,801.918,"['ich', 'hatte', 'noch', 'nie', 'so', 'etwas', 'sch\xf6nes', 'gesehen']"
178,802.04,804.076,"['sie', 'war', 'wie', 'ein', 'engel']"
179,804.16,807.391,"['na', 'setzt', 'du', 'dich', 'hin', 'oder', 'nicht']"
180,808.1,810.7,"[u'forrest', u'setzt', u'sich', u'und', u'senkt', u'verlegen', u'den', u'blick']"
181,811.72,813.631,"['was', 'ist', 'denn', 'mit', 'deinen', 'beinen']"
182,813.72,818.35,"['gar', 'nichts', 'danke', 'meine', 'beine', 'sind', 'ordentlich', 'in', 'ordnung']"
183,818.44,821.238,"['ich', 'sa\xdf', 'einfach', 'im', 'bus', 'neben', 'ihr']"
184,821.32,824.073,"['und', 'wir', 'unterhielten', 'uns', 'den', 'ganzen', 'weg', 'zur', 'schule']"
185,824.16,826.39,"['mein', 'r\xfccken', 'ist', 'krumm', 'wie', 'ein', 'fragezeichen']"
186,826.48,831.349,"['au\xdfer', 'mama', 'redete', 'nie', 'jemand', 'mit', 'mir', 'oder', 'stellte', 'mir', 'fragen']"
187,831.44,833.67,"['bist', 'du', 'dumm', 'oder', 'was']"
188,833.76,837.15,"['mama', 'sagt', 'dumm', 'ist', 'wer', 'dummes', 'tut']"
189,837.24,842.109,"['ich', 'bin', 'jenny', 'ich', 'bin', 'forrest', 'forrest', 'gump']"
190,839.2,840.1,"[u's', u'sie', u'gibt', u'ihm', u'die', u'hand']"
191,842.2,844.839,"['von', 'dem', 'tag', 'an', 'waren', 'wir', 'immer', 'zusammen']"
192,844.92,847.514,"['jenny', 'und', 'ich', 'waren', 'wie', 'pech', 'und', 'schwefel']"
193,848.4,849.6,"[u'sie', u'laufen', u'zu', u'einer', u'eiche']"
194,850.08,852.31,"['sie', 'brachte', 'mir', 'klettern', 'bei']"
195,852.4,854.709,"['komm', 'forrest', 'du', 'schaffst', 'es']"
196,854.8,857.268,"['ich', 'zeigte', 'ihr', 'wie', 'man', 'baumelt']"
197,856.6,858.1,"[u'ss', u'er', u'haengt', u'mit', u'einer', u'hand', u'am', u'ast']"
198,859.0,864.154,"['sie', 'half', 'mir', 'lesen', 'zu', 'lernen', 'ich', 'zeigte', 'ihr', 'wie', 'man', 'schaukelt']"
199,864.3,865.7,"[u'er', u'haengt', u'kopfueber', u'im', u'baum']"
200,865.48,870.031,"['manchmal', 'sa\xdfen', 'wir', 'nur', 'drau\xdfen', 'und', 'warteten', 'auf', 'die', 'sterne']"
201,870.12,875.24,"['mama', 'macht', 'sich', 'sorgen', 'um', 'mich', 'bleib', 'noch', 'ein', 'kleines', 'bisschen']"
202,874.5,876.0,"[u's', u'auf', u'dem', u'baum', u'nimmt', u'sie', u'seine', u'hand']"
203,875.32,879.233,"['irgendwie', 'wollte', 'jenny', 'nie', 'nach', 'hause', 'gehen']"
204,879.32,881.914,"['ok', 'jenny', 'ich', 'bleibe']"
205,882.0,885.31,"['sie', 'war', 'meine', 'beste', 'freundin']"
206,885.8,888.3,"[u'auf', u'der', u'wartebank', u'blickt', u'forrest', u'traurig', u'vor', u'sich', u'hin']"
207,888.36,890.92,"['meine', 'einzige', 'freundin']"
208,890.0,892.5,"[u'die', u'krankenschwester', u'sieht', u'ungeruehrt', u'in', u'ihre', u'zeitschrift']"
209,892.6,896.309,"['meine', 'mama', 'sagte', 'immer', 'dass', 'wunder', 'jeden', 'tag', 'passieren']"
210,896.2,897.3,"[u'ss', u'die', u'schwester', u'blickt', u'hoch']"
211,896.4,899.949,"['manche', 'leute', 'glauben', 'das', 'nicht', 'aber', 'es', 'stimmt']"
212,900.2,902.8,"[u'ss', u'forrest', u'und', u'jenny', u'auf', u'einem', u'weg', u'er', u'kriegt', u'einen', u'klumpen', u'studio', u'an', u'den', u'kopf']"
213,902.08,904.958,"['hey', 'dummkopf']"
214,903.8,904.8,"[u'ss', u'noch', u'ein', u'klumpen', u'forrest', u'kippt', u'um']"
215,905.16,907.435,"['bist', 'du', 'zur\xfcckgeblieben', 'oder', 'nur', 'dumm']"
216,907.52,910.671,"['seht', 'ich', 'bin', 'forrest', 'plump', 'lauf', 'weg', 'forrest']"
217,912.0,914.833,"['lauf', 'forrest', 'lauf', 'weg', 'schnell']"
